1535.401680, 7.858034, 1307.922503, 219.621143: ns per cell total, react, vel_step, dens_step
1538.263115, 18.090015, 1257.928737, 262.244364: ns per cell total, react, vel_step, dens_step
1323.945374, 10.594704, 1058.183443, 255.167227: ns per cell total, react, vel_step, dens_step
1076.573244, 6.068634, 852.038647, 218.465963: ns per cell total, react, vel_step, dens_step
1065.022904, 5.864179, 844.276171, 214.882554: ns per cell total, react, vel_step, dens_step
1096.059090, 6.201714, 862.602974, 227.254402: ns per cell total, react, vel_step, dens_step
1076.052043, 5.967498, 842.393395, 227.691150: ns per cell total, react, vel_step, dens_step
1063.069552, 5.896436, 835.374522, 221.798594: ns per cell total, react, vel_step, dens_step
1078.103863, 5.901772, 836.108423, 236.093668: ns per cell total, react, vel_step, dens_step
1073.730527, 5.898619, 835.290363, 232.541546: ns per cell total, react, vel_step, dens_step
1078.306135, 5.860541, 840.534873, 231.910720: ns per cell total, react, vel_step, dens_step
1082.404439, 5.952946, 839.762167, 236.689327: ns per cell total, react, vel_step, dens_step
1099.660429, 6.416875, 847.398821, 245.844733: ns per cell total, react, vel_step, dens_step
1088.293357, 5.826587, 837.505164, 244.961605: ns per cell total, react, vel_step, dens_step
1100.506519, 6.068149, 848.990437, 245.447934: ns per cell total, react, vel_step, dens_step
1089.718717, 5.862967, 839.463610, 244.392140: ns per cell total, react, vel_step, dens_step
1086.802998, 5.891828, 835.658769, 245.252401: ns per cell total, react, vel_step, dens_step
1097.538448, 5.936142, 844.814297, 246.788009: ns per cell total, react, vel_step, dens_step
1082.744226, 5.767409, 834.073338, 242.903479: ns per cell total, react, vel_step, dens_step
1099.435134, 6.537188, 846.513493, 246.384453: ns per cell total, react, vel_step, dens_step
1091.742109, 6.068409, 838.806435, 246.867265: ns per cell total, react, vel_step, dens_step
1098.558641, 5.859744, 848.457993, 244.240904: ns per cell total, react, vel_step, dens_step
1081.756636, 5.863209, 828.786142, 247.107285: ns per cell total, react, vel_step, dens_step
1098.451841, 5.835058, 842.710246, 249.906537: ns per cell total, react, vel_step, dens_step
1094.725511, 6.180406, 837.106199, 251.438905: ns per cell total, react, vel_step, dens_step
1098.056600, 5.899242, 840.550846, 251.606512: ns per cell total, react, vel_step, dens_step
1099.084849, 5.809073, 840.308141, 252.967636: ns per cell total, react, vel_step, dens_step
1103.154188, 5.847271, 842.081655, 255.225262: ns per cell total, react, vel_step, dens_step
1090.003934, 5.954852, 832.544954, 251.504129: ns per cell total, react, vel_step, dens_step
1110.343874, 5.921330, 849.761169, 254.661375: ns per cell total, react, vel_step, dens_step
1106.192160, 5.967325, 845.880744, 254.344091: ns per cell total, react, vel_step, dens_step
1103.623747, 5.821026, 844.937209, 252.865513: ns per cell total, react, vel_step, dens_step
1106.264400, 6.244591, 840.224987, 259.794823: ns per cell total, react, vel_step, dens_step
1119.708551, 5.881572, 858.933812, 254.893166: ns per cell total, react, vel_step, dens_step
1107.698803, 5.976420, 845.618290, 256.104093: ns per cell total, react, vel_step, dens_step
1104.740867, 6.293184, 839.050179, 259.397504: ns per cell total, react, vel_step, dens_step
1084.973337, 5.694649, 826.349424, 252.929264: ns per cell total, react, vel_step, dens_step
1111.061335, 5.862863, 851.017571, 254.180902: ns per cell total, react, vel_step, dens_step
1096.590235, 5.936402, 835.678812, 254.975021: ns per cell total, react, vel_step, dens_step
1098.168598, 5.897943, 841.369911, 250.900744: ns per cell total, react, vel_step, dens_step
1094.050926, 5.909377, 830.492354, 257.649195: ns per cell total, react, vel_step, dens_step
1096.507601, 5.819987, 840.490299, 250.197315: ns per cell total, react, vel_step, dens_step
1098.822395, 5.804915, 841.671343, 251.346137: ns per cell total, react, vel_step, dens_step
1102.201298, 6.119080, 846.037178, 250.045040: ns per cell total, react, vel_step, dens_step
1097.244292, 6.388031, 836.169420, 254.686841: ns per cell total, react, vel_step, dens_step
1117.006052, 5.903920, 857.952857, 253.149275: ns per cell total, react, vel_step, dens_step
1103.518766, 5.933543, 845.487843, 252.097379: ns per cell total, react, vel_step, dens_step
1104.031201, 6.127915, 848.619103, 249.284182: ns per cell total, react, vel_step, dens_step
1099.244141, 6.331382, 843.937024, 248.975734: ns per cell total, react, vel_step, dens_step
1106.393289, 5.884691, 849.504951, 251.003647: ns per cell total, react, vel_step, dens_step
