2211.528681, 9.062660, 1831.466761, 370.999260: ns per cell total, react, vel_step, dens_step
1884.389121, 6.971504, 1508.856712, 368.560904: ns per cell total, react, vel_step, dens_step
1900.251391, 6.897835, 1522.970251, 370.383304: ns per cell total, react, vel_step, dens_step
1909.887033, 6.934215, 1532.211172, 370.741645: ns per cell total, react, vel_step, dens_step
1929.128757, 7.070639, 1551.426749, 370.631369: ns per cell total, react, vel_step, dens_step
1952.769253, 7.403287, 1575.780061, 369.585905: ns per cell total, react, vel_step, dens_step
1992.123543, 7.674089, 1616.928103, 367.521352: ns per cell total, react, vel_step, dens_step
2019.647582, 8.587676, 1641.904873, 369.155032: ns per cell total, react, vel_step, dens_step
2017.705810, 8.130883, 1633.358124, 376.216803: ns per cell total, react, vel_step, dens_step
2038.534149, 8.259804, 1654.127118, 376.147227: ns per cell total, react, vel_step, dens_step
2060.028010, 8.498091, 1677.322416, 374.207502: ns per cell total, react, vel_step, dens_step
2066.460638, 9.051519, 1681.486083, 375.923037: ns per cell total, react, vel_step, dens_step
2068.218237, 8.968300, 1689.761120, 369.488816: ns per cell total, react, vel_step, dens_step
2084.255811, 9.007408, 1702.077725, 373.170678: ns per cell total, react, vel_step, dens_step
2064.972932, 9.345968, 1681.864660, 373.762305: ns per cell total, react, vel_step, dens_step
2088.084329, 9.534915, 1710.663810, 367.885605: ns per cell total, react, vel_step, dens_step
2080.288823, 9.953510, 1695.459332, 374.875981: ns per cell total, react, vel_step, dens_step
2082.295623, 9.927817, 1699.525910, 372.841896: ns per cell total, react, vel_step, dens_step
2096.062644, 10.188160, 1718.673730, 367.200755: ns per cell total, react, vel_step, dens_step
2101.580549, 10.557187, 1721.630952, 369.392410: ns per cell total, react, vel_step, dens_step
2113.517894, 10.509439, 1731.802968, 371.205488: ns per cell total, react, vel_step, dens_step
2112.454467, 10.933945, 1731.216344, 370.304178: ns per cell total, react, vel_step, dens_step
2110.568857, 12.614237, 1725.846232, 372.108389: ns per cell total, react, vel_step, dens_step
2113.210712, 11.469865, 1734.102170, 367.638677: ns per cell total, react, vel_step, dens_step
2127.227845, 11.336397, 1743.729626, 372.161821: ns per cell total, react, vel_step, dens_step
2100.167194, 11.537622, 1716.723318, 371.906253: ns per cell total, react, vel_step, dens_step
2113.135224, 11.936208, 1731.338443, 369.860572: ns per cell total, react, vel_step, dens_step
2121.923444, 12.530336, 1741.161441, 368.231667: ns per cell total, react, vel_step, dens_step
2144.339533, 11.642442, 1765.142315, 367.554776: ns per cell total, react, vel_step, dens_step
2134.509941, 11.732027, 1755.526455, 367.251459: ns per cell total, react, vel_step, dens_step
2142.983249, 12.041937, 1759.575753, 371.365559: ns per cell total, react, vel_step, dens_step
2139.052413, 12.036480, 1755.889798, 371.126134: ns per cell total, react, vel_step, dens_step
2140.420747, 11.802513, 1761.815156, 366.803079: ns per cell total, react, vel_step, dens_step
2207.362058, 13.127192, 1823.678986, 370.555881: ns per cell total, react, vel_step, dens_step
2156.365326, 11.815928, 1771.024699, 373.524699: ns per cell total, react, vel_step, dens_step
2184.822961, 11.505108, 1801.239023, 372.078830: ns per cell total, react, vel_step, dens_step
2171.417236, 11.840712, 1789.953330, 369.623194: ns per cell total, react, vel_step, dens_step
2187.975952, 11.920974, 1806.958153, 369.096824: ns per cell total, react, vel_step, dens_step
2195.935394, 12.027840, 1811.252559, 372.654995: ns per cell total, react, vel_step, dens_step
2183.938932, 12.882310, 1804.169642, 366.886979: ns per cell total, react, vel_step, dens_step
2197.990398, 11.912334, 1814.227971, 371.850092: ns per cell total, react, vel_step, dens_step
2208.963224, 12.001919, 1824.314040, 372.647264: ns per cell total, react, vel_step, dens_step
2204.792054, 12.509418, 1821.701062, 370.581574: ns per cell total, react, vel_step, dens_step
2217.903102, 12.932787, 1836.169642, 366.886979: ns per cell total, react, vel_step, dens_step
2183.938932, 12.882310, 1804.169642, 366.886979: ns per cell total, react, vel_step, dens_step
2197.990398, 11.912334, 1814.227971, 371.850092: ns per cell total, react, vel_step, dens_step
2208.963224, 12.001919, 1824.314040, 372.647264: ns per cell total, react, vel_step, dens_step
2204.792054, 12.509418, 1821.701062, 370.581574: ns per cell total, react, vel_step, dens_step
2197.990398, 11.912334, 1814.227971, 371.850092: ns per cell total, react, vel_step, dens_step
2208.963224, 12.001919, 1824.314040, 372.647264: ns per cell total, react, vel_step, dens_step
