177.795300, 1.695298, 131.469278, 44.630724: ns per cell total, react, vel_step, dens_step
106.707897, 0.722533, 82.202090, 23.783274: ns per cell total, react, vel_step, dens_step
103.411317, 0.682023, 79.532067, 23.197228: ns per cell total, react, vel_step, dens_step
104.588228, 0.673998, 80.388791, 23.525438: ns per cell total, react, vel_step, dens_step
102.166838, 0.655879, 78.563923, 22.947036: ns per cell total, react, vel_step, dens_step
101.515558, 0.652957, 78.061099, 22.801502: ns per cell total, react, vel_step, dens_step
101.726085, 0.658304, 78.114632, 22.953148: ns per cell total, react, vel_step, dens_step
101.508065, 0.658378, 78.162866, 22.686821: ns per cell total, react, vel_step, dens_step
102.069025, 0.659832, 78.590553, 22.818640: ns per cell total, react, vel_step, dens_step
101.404443, 0.651487, 78.044861, 22.708095: ns per cell total, react, vel_step, dens_step
101.577283, 0.670280, 78.167371, 22.739632: ns per cell total, react, vel_step, dens_step
101.629179, 0.652427, 78.120367, 22.856385: ns per cell total, react, vel_step, dens_step
101.862000, 0.652629, 78.336258, 22.873113: ns per cell total, react, vel_step, dens_step
101.691458, 0.650451, 78.208112, 22.832895: ns per cell total, react, vel_step, dens_step
137.846655, 3.798050, 102.736522, 31.312084: ns per cell total, react, vel_step, dens_step
107.268044, 0.679717, 82.335678, 24.252649: ns per cell total, react, vel_step, dens_step
103.613938, 0.663833, 79.532165, 23.417940: ns per cell total, react, vel_step, dens_step
102.242630, 0.651659, 78.469408, 23.121562: ns per cell total, react, vel_step, dens_step
102.676116, 0.657156, 78.784924, 23.234037: ns per cell total, react, vel_step, dens_step
102.414075, 0.658232, 78.605929, 23.149914: ns per cell total, react, vel_step, dens_step
102.117386, 0.691774, 78.383164, 23.042448: ns per cell total, react, vel_step, dens_step
102.177291, 0.650592, 78.428978, 23.097721: ns per cell total, react, vel_step, dens_step
102.554427, 0.684062, 78.566450, 23.303916: ns per cell total, react, vel_step, dens_step
102.034149, 0.684086, 78.371134, 22.978929: ns per cell total, react, vel_step, dens_step
102.265985, 0.654594, 78.527155, 23.084237: ns per cell total, react, vel_step, dens_step
102.210324, 0.666284, 78.484348, 23.059692: ns per cell total, react, vel_step, dens_step
102.442724, 0.654079, 78.612718, 23.175927: ns per cell total, react, vel_step, dens_step
102.053067, 0.647584, 78.357334, 23.048148: ns per cell total, react, vel_step, dens_step
137.071765, 4.030881, 104.981154, 28.059731: ns per cell total, react, vel_step, dens_step
108.784313, 0.719546, 83.152714, 24.912053: ns per cell total, react, vel_step, dens_step
102.465455, 0.683085, 78.255488, 23.526882: ns per cell total, react, vel_step, dens_step
101.668233, 0.673339, 77.789142, 23.205751: ns per cell total, react, vel_step, dens_step
101.836874, 0.696891, 77.878916, 23.261067: ns per cell total, react, vel_step, dens_step
101.581427, 0.677965, 77.708962, 23.194500: ns per cell total, react, vel_step, dens_step
101.257671, 0.672833, 77.564117, 23.020720: ns per cell total, react, vel_step, dens_step
101.453977, 0.670111, 77.622325, 23.161541: ns per cell total, react, vel_step, dens_step
103.265331, 0.685808, 78.984674, 23.594849: ns per cell total, react, vel_step, dens_step
101.337731, 0.669051, 77.602641, 23.066038: ns per cell total, react, vel_step, dens_step
101.728050, 0.689567, 77.808654, 23.229829: ns per cell total, react, vel_step, dens_step
101.710997, 0.671267, 77.843471, 23.196259: ns per cell total, react, vel_step, dens_step
101.708202, 0.674520, 77.855927, 23.177756: ns per cell total, react, vel_step, dens_step
102.117726, 0.671716, 78.228525, 23.217484: ns per cell total, react, vel_step, dens_step
507.003278, 3.979949, 430.987711, 72.035618: ns per cell total, react, vel_step, dens_step
114.819124, 0.771169, 88.081020, 25.966935: ns per cell total, react, vel_step, dens_step
119.709284, 0.806239, 91.715009, 27.188037: ns per cell total, react, vel_step, dens_step
122.961792, 0.917527, 94.138290, 27.905975: ns per cell total, react, vel_step, dens_step
110.453983, 0.756647, 84.669272, 25.028064: ns per cell total, react, vel_step, dens_step
109.468108, 0.733417, 84.017483, 24.717208: ns per cell total, react, vel_step, dens_step
122.247235, 0.940257, 93.971961, 27.335016: ns per cell total, react, vel_step, dens_step
129.643814, 0.964866, 99.547155, 29.131794: ns per cell total, react, vel_step, dens_step

