566.265044, 6.996743, 454.730980, 104.537321: ns per cell total, react, vel_step, dens_step
625.681033, 9.189924, 510.536795, 105.954314: ns per cell total, react, vel_step, dens_step
672.531163, 14.723203, 550.252025, 107.555934: ns per cell total, react, vel_step, dens_step
566.240487, 19.828674, 445.572498, 100.839316: ns per cell total, react, vel_step, dens_step
527.179736, 21.201799, 405.834498, 100.143438: ns per cell total, react, vel_step, dens_step
520.989829, 15.096020, 406.217396, 99.676413: ns per cell total, react, vel_step, dens_step
516.103796, 10.690542, 404.739467, 100.673788: ns per cell total, react, vel_step, dens_step
512.778684, 7.252197, 404.323487, 101.203000: ns per cell total, react, vel_step, dens_step
513.881787, 6.119308, 405.179549, 102.582931: ns per cell total, react, vel_step, dens_step
513.313921, 5.940365, 405.734568, 101.638989: ns per cell total, react, vel_step, dens_step
519.858872, 6.054961, 410.035113, 103.768798: ns per cell total, react, vel_step, dens_step
513.321879, 5.974812, 405.267883, 102.079184: ns per cell total, react, vel_step, dens_step
511.149779, 5.909442, 403.538138, 101.702199: ns per cell total, react, vel_step, dens_step
516.637328, 5.945594, 408.055598, 102.636136: ns per cell total, react, vel_step, dens_step
514.005137, 5.929337, 404.916022, 103.159778: ns per cell total, react, vel_step, dens_step
515.326519, 5.901256, 406.381673, 103.043590: ns per cell total, react, vel_step, dens_step
514.416229, 5.906941, 405.185006, 103.324282: ns per cell total, react, vel_step, dens_step
513.592681, 5.897505, 404.321099, 103.374077: ns per cell total, react, vel_step, dens_step
514.041290, 5.927404, 404.229468, 103.884418: ns per cell total, react, vel_step, dens_step
516.984983, 5.952415, 406.377126, 104.655442: ns per cell total, react, vel_step, dens_step
513.871100, 5.941729, 402.771434, 105.157937: ns per cell total, react, vel_step, dens_step
516.065597, 5.909442, 405.024025, 105.132131: ns per cell total, react, vel_step, dens_step
515.810939, 5.921720, 405.056653, 104.832566: ns per cell total, react, vel_step, dens_step
525.995802, 6.014375, 412.252916, 107.728511: ns per cell total, react, vel_step, dens_step
563.068690, 6.163516, 439.640384, 117.264790: ns per cell total, react, vel_step, dens_step
583.374978, 7.124202, 458.141975, 118.108801: ns per cell total, react, vel_step, dens_step
592.922333, 6.445199, 462.878104, 123.599031: ns per cell total, react, vel_step, dens_step
709.207749, 7.920486, 552.575329, 148.711933: ns per cell total, react, vel_step, dens_step
575.938170, 6.635024, 452.120860, 117.182286: ns per cell total, react, vel_step, dens_step
597.026753, 6.544854, 465.186401, 125.295498: ns per cell total, react, vel_step, dens_step
566.631830, 6.617873, 442.234003, 117.779954: ns per cell total, react, vel_step, dens_step
594.250586, 7.140443, 462.365408, 124.744734: ns per cell total, react, vel_step, dens_step
555.239499, 6.437533, 435.299496, 113.502470: ns per cell total, react, vel_step, dens_step
605.229486, 6.509513, 474.968277, 123.751696: ns per cell total, react, vel_step, dens_step
549.976773, 6.441951, 430.262844, 113.271978: ns per cell total, react, vel_step, dens_step
560.651513, 6.307216, 438.305895, 116.038401: ns per cell total, react, vel_step, dens_step
532.839863, 6.027676, 416.903617, 109.908569: ns per cell total, react, vel_step, dens_step
573.881802, 6.368802, 448.868637, 118.644363: ns per cell total, react, vel_step, dens_step
545.424314, 6.158871, 424.346354, 114.919089: ns per cell total, react, vel_step, dens_step
625.207576, 7.523990, 486.676462, 131.007125: ns per cell total, react, vel_step, dens_step
565.298381, 6.617743, 444.768765, 113.911873: ns per cell total, react, vel_step, dens_step
577.334894, 6.681798, 452.224153, 118.428943: ns per cell total, react, vel_step, dens_step
519.555101, 5.925358, 406.391564, 107.238179: ns per cell total, react, vel_step, dens_step
519.894229, 5.946276, 405.041988, 108.905965: ns per cell total, react, vel_step, dens_step
523.492758, 5.938546, 404.081788, 113.472424: ns per cell total, react, vel_step, dens_step
581.411119, 6.942303, 457.511045, 116.957770: ns per cell total, react, vel_step, dens_step
624.107348, 6.978813, 489.555012, 127.573523: ns per cell total, react, vel_step, dens_step
582.373884, 6.290455, 454.645877, 121.437552: ns per cell total, react, vel_step, dens_step
587.457570, 6.522766, 460.341913, 120.592891: ns per cell total, react, vel_step, dens_step
652.708119, 7.238517, 508.648554, 136.821048: ns per cell total, react, vel_step, dens_step
