652.259814, 6.912160, 519.690502, 125.657152: ns per cell total, react, vel_step, dens_step
635.310585, 6.717642, 509.097617, 119.495326: ns per cell total, react, vel_step, dens_step
641.848033, 7.074277, 514.999897, 119.773858: ns per cell total, react, vel_step, dens_step
647.512934, 7.322910, 520.570666, 119.619358: ns per cell total, react, vel_step, dens_step
659.477337, 7.752988, 530.125590, 121.598760: ns per cell total, react, vel_step, dens_step
668.567736, 8.165330, 540.218934, 120.183472: ns per cell total, react, vel_step, dens_step
680.410380, 8.572215, 551.422545, 120.415621: ns per cell total, react, vel_step, dens_step
689.399258, 9.007522, 559.182581, 121.209155: ns per cell total, react, vel_step, dens_step
707.475692, 9.411337, 576.004936, 122.059419: ns per cell total, react, vel_step, dens_step
702.080683, 9.894961, 571.185524, 121.000198: ns per cell total, react, vel_step, dens_step
712.825795, 10.208055, 581.198719, 121.419021: ns per cell total, react, vel_step, dens_step
724.915026, 10.592430, 592.272386, 122.050210: ns per cell total, react, vel_step, dens_step
737.425239, 11.135057, 603.004992, 123.285190: ns per cell total, react, vel_step, dens_step
746.991191, 11.385282, 612.985218, 122.620690: ns per cell total, react, vel_step, dens_step
755.779297, 11.861289, 620.217861, 123.700147: ns per cell total, react, vel_step, dens_step
765.527261, 12.289888, 630.776526, 122.460847: ns per cell total, react, vel_step, dens_step
784.410872, 12.725309, 645.473506, 126.212058: ns per cell total, react, vel_step, dens_step
783.399059, 13.070007, 646.590820, 123.738232: ns per cell total, react, vel_step, dens_step
792.808009, 13.621843, 655.747840, 123.438326: ns per cell total, react, vel_step, dens_step
802.718660, 13.762474, 659.370357, 129.585828: ns per cell total, react, vel_step, dens_step
795.083452, 14.377065, 655.631538, 125.074848: ns per cell total, react, vel_step, dens_step
778.573508, 14.844431, 640.341341, 123.387736: ns per cell total, react, vel_step, dens_step
759.302679, 15.134333, 621.983531, 122.184815: ns per cell total, react, vel_step, dens_step
748.865659, 15.432875, 609.761742, 123.671043: ns per cell total, react, vel_step, dens_step
733.520551, 15.973114, 594.172434, 123.375003: ns per cell total, react, vel_step, dens_step
724.626943, 16.618287, 585.796897, 122.211759: ns per cell total, react, vel_step, dens_step
721.193260, 17.043135, 581.094696, 123.055429: ns per cell total, react, vel_step, dens_step
749.793912, 18.087007, 610.156007, 121.550897: ns per cell total, react, vel_step, dens_step
723.863536, 18.314836, 580.662231, 124.886469: ns per cell total, react, vel_step, dens_step
711.841039, 18.284823, 567.217739, 126.338477: ns per cell total, react, vel_step, dens_step
706.689320, 19.761956, 564.244260, 122.683105: ns per cell total, react, vel_step, dens_step
688.626187, 19.087906, 548.923822, 120.614459: ns per cell total, react, vel_step, dens_step
680.373660, 19.343361, 541.088980, 119.941319: ns per cell total, react, vel_step, dens_step
672.805868, 19.814593, 533.115326, 119.875949: ns per cell total, react, vel_step, dens_step
670.400141, 20.996140, 528.535338, 120.868663: ns per cell total, react, vel_step, dens_step
662.059847, 20.318566, 521.037578, 120.703703: ns per cell total, react, vel_step, dens_step
654.271048, 20.936909, 514.246949, 119.087190: ns per cell total, react, vel_step, dens_step
653.170559, 21.300707, 509.680717, 122.189135: ns per cell total, react, vel_step, dens_step
649.112735, 22.242034, 505.472144, 121.398557: ns per cell total, react, vel_step, dens_step
645.760110, 22.752829, 502.258786, 120.748496: ns per cell total, react, vel_step, dens_step
644.135980, 22.939275, 499.807243, 121.389462: ns per cell total, react, vel_step, dens_step
637.977678, 23.137090, 494.032406, 120.808181: ns per cell total, react, vel_step, dens_step
632.952720, 23.259986, 489.821105, 119.871629: ns per cell total, react, vel_step, dens_step
631.804824, 23.003622, 488.400474, 120.400728: ns per cell total, react, vel_step, dens_step
634.544790, 23.539542, 488.740511, 122.264737: ns per cell total, react, vel_step, dens_step
630.788804, 23.926646, 488.036790, 118.825369: ns per cell total, react, vel_step, dens_step
631.834496, 23.442226, 486.972795, 121.419475: ns per cell total, react, vel_step, dens_step
633.669856, 23.349230, 488.723344, 121.597282: ns per cell total, react, vel_step, dens_step
632.760930, 23.636858, 490.364073, 118.759999: ns per cell total, react, vel_step, dens_step
631.515036, 23.366397, 485.359351, 122.789288: ns per cell total, react, vel_step, dens_step


