1369.200618, 6.955815, 1128.479198, 233.765604: ns per cell total, react, vel_step, dens_step
1319.326050, 15.337112, 1066.417099, 237.571840: ns per cell total, react, vel_step, dens_step
1128.225059, 7.474747, 899.644095, 221.106218: ns per cell total, react, vel_step, dens_step
987.395197, 5.724814, 787.937324, 193.733058: ns per cell total, react, vel_step, dens_step
984.896815, 5.702532, 782.463985, 196.730298: ns per cell total, react, vel_step, dens_step
983.841119, 5.780748, 778.311005, 199.749365: ns per cell total, react, vel_step, dens_step
984.587814, 5.702987, 777.872174, 201.012654: ns per cell total, react, vel_step, dens_step
986.629175, 5.763923, 776.012712, 204.852540: ns per cell total, react, vel_step, dens_step
990.561830, 5.714810, 776.567276, 208.279744: ns per cell total, react, vel_step, dens_step
989.015462, 5.663878, 774.749424, 208.602160: ns per cell total, react, vel_step, dens_step
992.847617, 5.848506, 778.559070, 208.440042: ns per cell total, react, vel_step, dens_step
993.592266, 5.671154, 777.460855, 210.460257: ns per cell total, react, vel_step, dens_step
994.146603, 5.789161, 777.956757, 210.400685: ns per cell total, react, vel_step, dens_step
993.392860, 5.734137, 777.640935, 210.017788: ns per cell total, react, vel_step, dens_step
998.348469, 5.827587, 779.915126, 212.605755: ns per cell total, react, vel_step, dens_step
995.228902, 5.682978, 777.939931, 211.605993: ns per cell total, react, vel_step, dens_step
996.050176, 5.902848, 777.999503, 212.147825: ns per cell total, react, vel_step, dens_step
993.215508, 5.725269, 775.047965, 212.442274: ns per cell total, react, vel_step, dens_step
996.734343, 5.729135, 778.981530, 212.023679: ns per cell total, react, vel_step, dens_step
995.377604, 5.808033, 777.758487, 211.811084: ns per cell total, react, vel_step, dens_step
997.651341, 5.704578, 778.704816, 213.241947: ns per cell total, react, vel_step, dens_step
997.968755, 5.675702, 779.509492, 212.783561: ns per cell total, react, vel_step, dens_step
998.804126, 5.649554, 779.632956, 213.521616: ns per cell total, react, vel_step, dens_step
994.091124, 5.707079, 773.173952, 215.210093: ns per cell total, react, vel_step, dens_step
1000.966222, 5.665242, 778.596814, 216.704166: ns per cell total, react, vel_step, dens_step
996.842346, 5.620450, 773.531610, 217.690285: ns per cell total, react, vel_step, dens_step
1003.548959, 5.697302, 778.213462, 219.638196: ns per cell total, react, vel_step, dens_step
1001.062401, 5.626589, 775.564558, 219.871254: ns per cell total, react, vel_step, dens_step
1000.706789, 5.685251, 776.727802, 218.293735: ns per cell total, react, vel_step, dens_step
1015.191401, 5.766196, 787.942099, 221.483106: ns per cell total, react, vel_step, dens_step
1002.711315, 5.636593, 778.353069, 218.721652: ns per cell total, react, vel_step, dens_step
1000.304565, 5.637048, 777.068635, 217.598881: ns per cell total, react, vel_step, dens_step
1000.502607, 5.637276, 775.660055, 219.205276: ns per cell total, react, vel_step, dens_step
1004.189471, 5.706397, 778.641834, 219.841240: ns per cell total, react, vel_step, dens_step
1000.433485, 5.658649, 776.090019, 218.684818: ns per cell total, react, vel_step, dens_step
1001.708824, 5.697302, 778.241201, 217.770321: ns per cell total, react, vel_step, dens_step
996.407607, 5.604306, 775.013405, 215.789896: ns per cell total, react, vel_step, dens_step
1000.869588, 5.616812, 779.060883, 216.191893: ns per cell total, react, vel_step, dens_step
996.037215, 5.656602, 775.445187, 214.935426: ns per cell total, react, vel_step, dens_step
999.126542, 5.644097, 779.454922, 214.027523: ns per cell total, react, vel_step, dens_step
992.944933, 5.614538, 773.666898, 213.663498: ns per cell total, react, vel_step, dens_step
996.273002, 5.665697, 778.066351, 212.540954: ns per cell total, react, vel_step, dens_step
992.739842, 5.621359, 775.055014, 212.063469: ns per cell total, react, vel_step, dens_step
996.932840, 5.731863, 778.412414, 212.788564: ns per cell total, react, vel_step, dens_step
990.651870, 5.609763, 775.364242, 209.677864: ns per cell total, react, vel_step, dens_step
996.554718, 5.828952, 777.693685, 213.032081: ns per cell total, react, vel_step, dens_step
993.349204, 5.597940, 776.413572, 211.337692: ns per cell total, react, vel_step, dens_step
996.052677, 5.679112, 777.466994, 212.906571: ns per cell total, react, vel_step, dens_step
992.824425, 5.602942, 774.548425, 212.673058: ns per cell total, react, vel_step, dens_step
998.074711, 5.643642, 777.786681, 214.644388: ns per cell total, react, vel_step, dens_step
