1232.147042, 7.385097, 984.768121, 239.993824: ns per cell total, react, vel_step, dens_step
1439.127724, 8.532273, 1181.686457, 248.908994: ns per cell total, react, vel_step, dens_step
1472.057193, 10.132074, 1256.880144, 205.044974: ns per cell total, react, vel_step, dens_step
1610.149411, 12.093854, 1391.475659, 206.579898: ns per cell total, react, vel_step, dens_step
1481.703293, 14.752610, 1261.835678, 205.115005: ns per cell total, react, vel_step, dens_step
1295.640383, 17.536271, 1074.993027, 203.111085: ns per cell total, react, vel_step, dens_step
1130.858436, 20.125754, 909.769142, 200.963541: ns per cell total, react, vel_step, dens_step
1031.156444, 21.931555, 809.176527, 200.048362: ns per cell total, react, vel_step, dens_step
1017.440809, 20.363586, 798.049996, 199.027227: ns per cell total, react, vel_step, dens_step
1018.249577, 16.822014, 802.640898, 198.786665: ns per cell total, react, vel_step, dens_step
1020.446007, 14.329316, 807.581500, 198.535190: ns per cell total, react, vel_step, dens_step
1009.605512, 12.052851, 797.170514, 200.382146: ns per cell total, react, vel_step, dens_step
1011.541372, 9.776386, 802.687509, 199.077476: ns per cell total, react, vel_step, dens_step
1006.301773, 8.016514, 798.759629, 199.525630: ns per cell total, react, vel_step, dens_step
1008.986374, 6.872597, 799.281452, 202.832325: ns per cell total, react, vel_step, dens_step
1008.252866, 6.148184, 799.730515, 202.374167: ns per cell total, react, vel_step, dens_step
1013.247584, 5.992206, 806.007392, 201.247985: ns per cell total, react, vel_step, dens_step
1004.085561, 5.777338, 797.673465, 200.634759: ns per cell total, react, vel_step, dens_step
1008.819709, 5.798483, 801.537681, 201.483545: ns per cell total, react, vel_step, dens_step
1004.097157, 5.942411, 797.143912, 201.010835: ns per cell total, react, vel_step, dens_step
1010.434289, 5.831680, 800.941734, 203.660875: ns per cell total, react, vel_step, dens_step
1005.706963, 6.021764, 797.501571, 202.183628: ns per cell total, react, vel_step, dens_step
1015.677526, 5.860329, 803.155217, 206.661980: ns per cell total, react, vel_step, dens_step
1017.618843, 6.086339, 808.621508, 202.910996: ns per cell total, react, vel_step, dens_step
1013.181645, 5.918309, 801.732767, 205.530569: ns per cell total, react, vel_step, dens_step
1006.907496, 5.889888, 798.216661, 202.800948: ns per cell total, react, vel_step, dens_step
1012.663915, 5.846232, 802.949899, 203.867785: ns per cell total, react, vel_step, dens_step
1006.537332, 5.919446, 796.627091, 203.990794: ns per cell total, react, vel_step, dens_step
1009.832431, 5.856464, 800.637736, 203.338232: ns per cell total, react, vel_step, dens_step
1009.296511, 5.784159, 797.401299, 206.111054: ns per cell total, react, vel_step, dens_step
1008.684421, 5.880565, 798.424708, 204.379148: ns per cell total, react, vel_step, dens_step
1011.470886, 5.903303, 801.482429, 204.085154: ns per cell total, react, vel_step, dens_step
1009.851530, 5.852144, 799.090230, 204.909156: ns per cell total, react, vel_step, dens_step
1011.593895, 6.098844, 800.307134, 205.187916: ns per cell total, react, vel_step, dens_step
1008.336767, 5.946958, 797.781013, 204.608796: ns per cell total, react, vel_step, dens_step
1018.809144, 5.852598, 806.456683, 206.499863: ns per cell total, react, vel_step, dens_step
1010.179403, 5.859192, 796.339236, 207.980975: ns per cell total, react, vel_step, dens_step
1012.509983, 5.757329, 801.446731, 205.305923: ns per cell total, react, vel_step, dens_step
1018.449893, 5.925358, 803.684998, 208.839538: ns per cell total, react, vel_step, dens_step
1015.733915, 5.830771, 800.852831, 209.050313: ns per cell total, react, vel_step, dens_step
1010.683945, 5.851689, 796.264658, 208.567599: ns per cell total, react, vel_step, dens_step
1015.989483, 5.860329, 802.987415, 207.141738: ns per cell total, react, vel_step, dens_step
1016.450142, 5.912852, 801.467650, 209.069640: ns per cell total, react, vel_step, dens_step
1028.450015, 5.859647, 809.899348, 212.691020: ns per cell total, react, vel_step, dens_step
1017.276873, 5.825996, 802.106342, 209.344535: ns per cell total, react, vel_step, dens_step
1023.903906, 5.866923, 807.861397, 210.175585: ns per cell total, react, vel_step, dens_step
1019.092679, 5.846914, 801.586339, 211.659426: ns per cell total, react, vel_step, dens_step
1016.034275, 6.033815, 798.325800, 211.674660: ns per cell total, react, vel_step, dens_step
1014.619784, 5.840320, 799.252120, 209.527343: ns per cell total, react, vel_step, dens_step
1013.362862, 5.824859, 797.845814, 209.692189: ns per cell total, react, vel_step, dens_step
